S_name',travel_mode',imp_friends','school_inter','Neigh_play','friend_meet','imp_kids','avg_mvpa','SD_mvpa',per_avg_under60',per_sixty_daily','mvpa_boys','mvpa_girls','0_30','30_40','40_50','50_60','60_70','70_80','80_90','more90','mvpa1','mvpa2','mvpa3','mvpa4','walk1','walk2','walk3','walk4','R_socio','R_sport','R_crime','R_walk','R_fit','R_outplay','R_min_outplay','R_simd','PA_home','PA_sc','PA_road','PA_Pfield','PA_park','PA_PG','PA_amenity','PA_SHOP','PA_F_home','PA_FSA','PA_OD','PA_H_garden','fsa_time','OD_time'
Walk_all,Walk_all,0.3,0,0.2,0.4,0.25,73.8615118,14,0.167067887,0.247826087,78.4812963,68.85713139,0,0.002407318,0.030813674,0.133846895,0.248435243,0.273471353,0.174771305,0.136254213,72,72,74,76,61,61,63,63,0.11,0.34,-0.05,0.49,0.7,0.08,0.02,0.14,10,23,21,3.156321618,2.698314877,0.591988445,2.244949446,0.354857968,2.061550313,5,8,0,17,33
Walk_all,Walk_all,0.3,0,0.2,0.4,0.25,73.87501204,14,0.16754935,0.2647343,79.11359528,68.83924457,0,0.001444391,0.028406355,0.137698604,0.24939817,0.266249398,0.185363505,0.131439576,72,73,73,77,62,62,63,63,0.11,0.37,0.01,0.51,0.67,0.14,0,0.06,10,22,21,3.228001926,2.749061146,0.446066442,2.236841598,0.352219547,2.096774194,5,8,0,17,32
Walk_all,Walk_all,0.3,0,0.2,0.4,0.25,73.20333173,14,0.180067406,0.2352657,78.51746835,68.0056,0,0.003370246,0.033220992,0.143476168,0.261916225,0.261434762,0.169956668,0.12662494,70,71,73,76,60,62,62,62,0.14,0.36,-0.05,0.51,0.7,0.14,0,0.11,10,22,21,2.734713529,3.153182475,0.477419355,2.12649013,0.351718825,2.028695234,6,8,0,17,31
Walk_all,Walk_all,0.3,0,0.2,0.4,0.25,73.41122773,15,0.190659605,0.241545894,79.36437678,67.31302144,0,0.002888782,0.043813192,0.143957631,0.250361098,0.245064998,0.170919596,0.142994704,70,73,73,77,60,63,62,63,0.15,0.4,-0.05,0.51,0.7,0.12,0.03,0.12,10,22,21,3.297390467,2.787481945,0.462301396,2.213403948,0.35788156,2.069523351,5,8,0,16,33
Walk_all,Walk_all,0.3,0,0.2,0.4,0.25,73.22212807,14,0.195955705,0.236231884,78.61817829,67.89320574,0,0.002888782,0.034183919,0.158883004,0.228695234,0.285026481,0.156475686,0.133846895,71,72,74,75,61,63,61,63,0.13,0.4,-0.05,0.54,0.71,0.07,-0.01,0.11,10,22,21,3.230024073,2.827924892,0.438690419,2.27589793,0.3607896,2.106596052,5,8,0,16,33
Walk_all,Walk_all,0.3,0,0.2,0.4,0.25,73.61371208,14,0.176697159,0.243478261,78.87299351,67.92757515,0,0.001444391,0.037072701,0.138180067,0.252768416,0.259990371,0.169956668,0.140587386,70,72,74,77,59,62,61,63,0.17,0.38,-0.06,0.52,0.71,0.09,0.05,0.17,10,22,21,3.341126625,2.738565238,0.38992778,2.271622532,0.348040443,2.10609533,6,8,0,17,32
Walk_all,Walk_all,0.3,0,0.2,0.4,0.25,73.51686086,14,0.177178623,0.245410628,79.21573643,67.88888038,0,0.002888782,0.036109774,0.138180067,0.257583052,0.257583052,0.169475205,0.138180067,71,72,73,76,60,62,62,63,0.14,0.37,-0.06,0.5,0.69,0.07,0.06,0.16,10,22,21,3.424997593,2.991892152,0.339585941,2.115686086,0.341492537,2.043023592,5,8,0,17,32
Walk_all,Walk_all,0.3,0,0.2,0.4,0.25,72.73877708,14,0.20173327,0.216425121,77.99359684,67.74546479,0,0.004333173,0.036109774,0.161290323,0.240250361,0.262879153,0.169475205,0.125662013,70,70,73,76,59,61,63,63,0.15,0.36,-0.04,0.52,0.69,0.11,0.02,0.13,10,22,21,3.227578238,3.030255176,0.309754454,2.160327395,0.344073182,2.154068368,5,8,0,15,32
Walk_all,Walk_all,0.3,0,0.2,0.4,0.25,73.03214251,14,0.187770824,0.234782609,78.4775619,67.46477118,0,0.002888782,0.041405874,0.143476168,0.246990852,0.264323544,0.175734232,0.125180549,70,71,74,75,60,60,62,62,0.15,0.41,-0.03,0.5,0.7,0.09,0.01,0.12,10,22,21,3.237438613,2.815560905,0.485854598,2.158093404,0.352142513,2.027212325,5,8,0,16,33
Combine,walk_school,0.3,30,0.4,0.4,0.25,80.4323351,15,0.090033703,0.472463768,87.00055064,74.13056604,0,0.001444391,0.021184401,0.067404911,0.176697159,0.243620607,0.232065479,0.257583052,79,79,81,81,58,56,57,55,0.06,0.25,-0.03,0.38,0.74,0.06,0.07,0.15,10,29,19,4.182936928,3.712103996,0.483851709,2.583245065,0.338796341,2.035955705,5,10,0,16,40
Combine,walk_school,0.3,30,0.4,0.4,0.25,80.75349061,16,0.088107848,0.469565217,87.02644004,74.22789784,0,0.000962927,0.020702937,0.066441984,0.193066923,0.22821377,0.221954742,0.268656716,78,78,81,84,58,58,58,57,0.13,0.24,-0.08,0.42,0.75,0.12,0.1,0.14,10,29,19,4.285045739,3.76132884,0.461511796,2.548117477,0.342840636,2.045642754,5,10,0,16,40
Combine,walk_school,0.3,30,0.4,0.4,0.25,80.8887819,16,0.103514685,0.466666667,87.62129353,74.57705224,0,0.001925855,0.020221473,0.081367357,0.153586904,0.255657198,0.210399615,0.276841598,79,79,81,82,59,56,58,55,0.07,0.29,-0.05,0.39,0.76,0.1,0.03,0.13,10,29,19,3.893346172,3.729340395,0.482099182,2.55867116,0.341415503,2.086239769,6,10,0,17,39
Combine,walk_school,0.3,30,0.4,0.4,0.25,81.38251324,16,0.088589311,0.481642512,87.4625207,74.70678788,0,0.002407318,0.014925373,0.07125662,0.169956668,0.237843043,0.217140106,0.286470871,80,80,81,82,58,55,59,54,0.04,0.26,-0.05,0.38,0.75,0.12,0.06,0.12,10,30,19,4.401887338,3.530207029,0.479749639,2.606933077,0.344227251,2.101165142,5,10,0,16,40
Combine,walk_school,0.3,30,0.4,0.4,0.25,80.5570727,16,0.097255658,0.474879227,86.93197674,74.26147368,0,0.000481464,0.018295619,0.078478575,0.166586423,0.250842561,0.218584497,0.266730862,79,79,81,82,57,59,58,55,0.08,0.24,-0.03,0.38,0.74,0.1,0.09,0.14,10,29,19,3.880404429,3.891169957,0.444756861,2.564487241,0.333211363,1.997727492,6,10,0,17,40
Combine,walk_school,0.3,30,0.4,0.4,0.25,80.38112662,16,0.103996149,0.461352657,87.59699901,73.51112782,0,0.000481464,0.022147328,0.081367357,0.171882523,0.234954261,0.223399133,0.265767935,78,78,81,82,57,56,57,55,0.09,0.23,-0.06,0.38,0.75,0.14,0.1,0.12,10,29,19,3.925893115,3.9554935,0.582166586,2.547713048,0.338623014,2.029812229,5,10,0,16,41
Combine,walk_school,0.3,30,0.4,0.4,0.25,80.38753972,16,0.10158883,0.45410628,87.25847025,73.23988212,0,0.000962927,0.019258546,0.081367357,0.182474723,0.24410207,0.202696196,0.26913818,78,80,80,82,58,58,58,55,0.08,0.25,-0.08,0.42,0.76,0.18,0.09,0.11,10,29,19,3.996109774,3.544689456,0.573596533,2.572441021,0.336543091,2.023996148,6,10,0,17,40
Combine,walk_school,0.3,30,0.4,0.4,0.25,79.49357727,16,0.105440539,0.443961353,86.14575668,73.18461538,0,0.001925855,0.020221473,0.083293211,0.199325951,0.227250843,0.226287915,0.241694752,78,76,79,82,58,55,57,56,0.1,0.24,-0.05,0.42,0.75,0.11,0.11,0.16,10,29,19,4.295079442,3.382147328,0.464997593,2.649610014,0.324063553,2.052498796,5,10,0,16,41
Combine,walk_school,0.3,30,0.4,0.4,0.25,81.14441984,16,0.094848339,0.481642512,87.73199625,74.18506931,0,0.001444391,0.014443909,0.078960039,0.180548869,0.220510351,0.214251324,0.289841117,80,78,81,83,58,57,58,55,0.08,0.28,-0.09,0.4,0.75,0.13,0.1,0.14,10,29,19,4.079576312,3.726528647,0.493038036,2.671429947,0.338334136,2.105363505,6,10,0,16,40
Combine,walk_school,0.3,30,0.4,0.4,0.25,80.06074145,16,0.110255176,0.459903382,86.42458788,74.07158879,0,0.000962927,0.01974001,0.089552239,0.176215696,0.228695234,0.221473279,0.263360616,77,78,80,84,59,57,58,55,0.14,0.29,-0.09,0.39,0.74,0.11,0.11,0.18,10,29,19,3.988849302,3.730322581,0.518960039,2.544362061,0.329032258,2.039634088,5,10,0,16,40
