S_name',travel_mode',imp_friends','school_inter','Neigh_play','friend_meet','imp_kids','avg_mvpa','SD_mvpa',per_avg_under60',per_sixty_daily','mvpa_boys','mvpa_girls','0_30','30_40','40_50','50_60','60_70','70_80','80_90','more90','mvpa1','mvpa2','mvpa3','mvpa4','walk1','walk2','walk3','walk4','R_socio','R_sport','R_crime','R_walk','R_fit','R_outplay','R_min_outplay','R_simd','PA_home','PA_sc','PA_road','PA_Pfield','PA_park','PA_PG','PA_amenity','PA_SHOP','PA_F_home','PA_FSA','PA_OD','PA_H_garden','fsa_time','OD_time'
Neigh 2/5,usual,0.3,0,0.4,0.4,0.25,69.53026481,15,0.287915262,0.179710145,74.82432277,64.21065637,0.000481464,0.014443909,0.072219547,0.200770342,0.252286952,0.224843524,0.136254213,0.098700048,69,66,70,70,50,42,47,42,0.05,0.25,-0.04,0.52,0.68,0.11,0.17,0.08,10,22,15,3.693692826,3.652383245,0.495194993,2.183322099,0.354029851,2.096119403,5,9,0,16,36
Neigh 2/5,usual,0.3,0,0.4,0.4,0.25,68.97721714,15,0.300433318,0.178743961,73.98250718,63.90887597,0,0.015406837,0.09099663,0.194029851,0.249879634,0.214251324,0.140587386,0.094848339,69,64,69,70,51,40,46,39,0.04,0.25,-0.05,0.53,0.69,0.09,0.15,0.09,10,22,15,3.793163216,3.665710159,0.430544054,2.336697159,0.340375542,2.051824747,5,9,0,16,37
Neigh 2/5,usual,0.3,0,0.4,0.4,0.25,69.69511796,15,0.280693307,0.184541063,75.78676953,63.62103846,0,0.020221473,0.075589793,0.184882041,0.256620125,0.21376986,0.140105922,0.108810785,68,66,71,70,48,43,47,41,0.07,0.28,-0.05,0.55,0.69,0.08,0.12,0.12,10,22,15,3.903360616,3.555204622,0.473856524,2.309773712,0.34025999,2.070890708,5,9,0,17,37
Neigh 2/5,usual,0.3,0,0.4,0.4,0.25,68.7382571,15,0.31006259,0.161835749,73.96305253,63.80209738,0.000481464,0.0158883,0.089552239,0.204140587,0.242176216,0.215695715,0.140105922,0.091959557,67,65,69,71,50,41,47,41,0.08,0.26,-0.05,0.54,0.69,0.11,0.15,0.12,10,22,15,3.709619644,3.505979779,0.455272027,2.346673086,0.349311507,2.028830043,5,9,0,16,37
Neigh 2/5,usual,0.3,0,0.4,0.4,0.25,69.64155994,15,0.270101108,0.180676329,74.42708691,64.77704854,0,0.0105922,0.077515648,0.18199326,0.261916225,0.224362061,0.14251324,0.101107366,69,65,71,70,51,40,47,40,0.05,0.26,-0.04,0.51,0.69,0.1,0.14,0.07,10,22,15,3.761521425,3.669061146,0.361656235,2.360962927,0.340914781,2.05933558,5,9,0,16,37
Neigh 2/5,usual,0.3,0,0.4,0.4,0.25,69.58168512,15,0.286470872,0.17826087,75.53434109,63.70308134,0.000481464,0.011555128,0.082811748,0.191622532,0.264323544,0.211844006,0.126143476,0.111218103,68,67,71,69,50,42,49,41,0.03,0.25,-0.02,0.53,0.67,0.15,0.15,0.06,10,22,16,3.830582571,3.621299952,0.353009148,2.358054887,0.347462687,2.082888782,5,9,0,16,37
Neigh 3/5,usual,0.3,0,0.6,0.4,0.25,73.20531536,16,0.223880597,0.25942029,78.78637979,67.28650794,0,0.005777564,0.064034665,0.154068368,0.240731825,0.212325469,0.16225325,0.160808859,72,69,74,74,54,43,51,46,0.08,0.23,-0.12,0.53,0.69,0.17,0.26,0.18,9,22,17,4.96317766,4.850168512,0.621704381,2.919557053,0.295811266,2.120616273,5,12,0,16,49
Neigh 3/5,usual,0.3,0,0.6,0.4,0.25,73.08805007,16,0.228695234,0.248792271,79.32975892,66.86434615,0.000481464,0.011073664,0.052479538,0.164660568,0.232065479,0.229176697,0.154549831,0.155512759,71,67,74,75,52,44,51,47,0.12,0.24,-0.11,0.5,0.67,0.18,0.29,0.22,9,22,17,5.136581608,4.681271064,0.666018296,2.584015407,0.295580164,2.049109292,6,12,0,17,47
Neigh 3/5,usual,0.3,0,0.6,0.4,0.25,73.43424169,17,0.232546943,0.268599034,79.40142723,67.15454545,0.000481464,0.014925373,0.06066442,0.156475686,0.205103515,0.231102552,0.166104959,0.165142032,72,67,74,75,53,43,50,47,0.09,0.24,-0.07,0.52,0.7,0.14,0.25,0.19,10,22,17,5.093480982,4.605854598,0.634530573,2.772941743,0.298372653,2.045719788,6,12,0,17,47
Neigh 3/5,usual,0.3,0,0.6,0.4,0.25,73.09417429,16,0.228695234,0.257487923,79.23,67.1731315,0,0.009147809,0.058257102,0.161290323,0.225806452,0.22821377,0.163216177,0.154068368,72,70,73,74,53,45,50,45,0.07,0.23,-0.07,0.51,0.67,0.16,0.23,0.17,10,22,16,5.137236399,4.628233028,0.709735195,2.74780934,0.295272027,2.073220992,5,12,0,16,49
